Jenis Budidaya Pembesaran,Provinsi,Kabupaten/Kota,Jenis Ikan,Tahun,Volume Produksi,Nilai Produksi
KOLAM AIR TENANG,JAWA TENGAH,KOTA TEGAL,LELE,2019,"16,185 "," Rp282,810,000 "
KOLAM AIR TENANG,JAWA TENGAH,KUDUS,LELE,2019,"1,043,214 "," Rp17,287,178,000 "
KOLAM AIR TENANG,JAWA TENGAH,MAGELANG,LELE,2019,"6,961,352 "," Rp111,381,632,000 "
KOLAM AIR TENANG,JAWA TENGAH,PATI,LELE,2019,"11,535,735 "," Rp199,105,622,000 "
KOLAM AIR TENANG,JAWA TENGAH,PEKALONGAN,LELE,2019,"806,088 "," Rp13,703,496,000 "
KOLAM AIR TENANG,JAWA TENGAH,PEMALANG,LELE,2019,"1,809,353 "," Rp30,282,751,000 "
KOLAM AIR TENANG,JAWA TENGAH,PURBALINGGA,LELE,2019,"2,393,565 "," Rp39,163,657,500 "
KOLAM AIR TENANG,JAWA TENGAH,PURWOREJO,LELE,2019,"579,659 "," Rp9,775,948,750 "
KOLAM AIR TENANG,JAWA TENGAH,REMBANG,LELE,2019,"958,941 "," Rp17,260,938,000 "
KOLAM AIR TENANG,JAWA TENGAH,SEMARANG,LELE,2019,"3,253,961 "," Rp58,571,298,000 "
KOLAM AIR TENANG,JAWA TENGAH,SRAGEN,LELE,2019,"5,858,410 "," Rp96,945,867,000 "
KOLAM AIR TENANG,JAWA TENGAH,SUKOHARJO,LELE,2019,"10,743,295 "," Rp182,636,015,000 "
KOLAM AIR TENANG,JAWA TENGAH,TEGAL,LELE,2019,"871,812 "," Rp15,131,764,000 "
KOLAM AIR TENANG,JAWA TENGAH,TEMANGGUNG,LELE,2019,"4,257,819 "," Rp70,272,423,000 "
KOLAM AIR TENANG,JAWA TENGAH,WONOGIRI,LELE,2019,"504,187 "," Rp8,066,992,000 "
KOLAM AIR TENANG,JAWA TENGAH,WONOSOBO,LELE,2019,"3,714,065 "," Rp48,282,845,000 "
KOLAM AIR TENANG,JAWA TIMUR,BANGKALAN,LELE,2019,"91,952 "," Rp1,839,040,000 "
KOLAM AIR TENANG,JAWA TIMUR,BANYUWANGI,LELE,2019,"4,786,324 "," Rp70,682,899,066 "
KOLAM AIR TENANG,JAWA TIMUR,BLITAR,LELE,2019,"10,383,300 "," Rp145,629,300,000 "
KOLAM AIR TENANG,JAWA TIMUR,BOJONEGORO,LELE,2019,"2,751,514 "," Rp44,789,420,000 "
KOLAM AIR TENANG,JAWA TIMUR,BONDOWOSO,LELE,2019,"684,461 "," Rp16,427,064,000 "
KOLAM AIR TENANG,JAWA TIMUR,GRESIK,LELE,2019,"1,193,971 "," Rp21,252,260,000 "
KOLAM AIR TENANG,JAWA TIMUR,JEMBER,LELE,2019,"8,242,000 "," Rp123,630,000,000 "
KOLAM AIR TENANG,JAWA TIMUR,JOMBANG,LELE,2019,"7,838,600 "," Rp123,570,600,000 "
KOLAM AIR TENANG,JAWA TIMUR,KEDIRI,LELE,2019,"14,980,000 "," Rp194,740,000,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA BATU,LELE,2019,"32,945 "," Rp560,065,000 "
