Jenis Budidaya Pembesaran,Provinsi,Kabupaten/Kota,Jenis Ikan,Tahun,Volume Produksi,Nilai Produksi
KOLAM AIR TENANG,JAWA TENGAH,BATANG,LELE,2021,"1,266,127 "," Rp20,891,095,500 "
KOLAM AIR TENANG,JAWA TENGAH,BLORA,LELE,2021,"773,010 "," Rp13,141,170,000 "
KOLAM AIR TENANG,JAWA TENGAH,BOYOLALI,LELE,2021,"24,695,385 "," Rp395,126,160,000 "
KOLAM AIR TENANG,JAWA TENGAH,BREBES,LELE,2021,"2,488,072 "," Rp44,785,296,000 "
KOLAM AIR TENANG,JAWA TENGAH,CILACAP,LELE,2021,"2,747,434 "," Rp47,177,580,700 "
KOLAM AIR TENANG,JAWA TENGAH,DEMAK,LELE,2021,"32,504,972 "," Rp520,079,552,000 "
KOLAM AIR TENANG,JAWA TENGAH,GROBOGAN,LELE,2021,"2,344,141 "," Rp40,426,951,500 "
KOLAM AIR TENANG,JAWA TENGAH,JEPARA,LELE,2021,"3,058,473 "," Rp48,935,568,000 "
KOLAM AIR TENANG,JAWA TENGAH,KARANGANYAR,LELE,2021,"1,601,921 "," Rp25,231,767,500 "
KOLAM AIR TENANG,JAWA TENGAH,KEBUMEN,LELE,2021,"1,198,799 "," Rp19,779,037,000 "
KOLAM AIR TENANG,JAWA TENGAH,KENDAL,LELE,2021,"3,058,000 "," Rp51,986,000,000 "
KOLAM AIR TENANG,JAWA TENGAH,KLATEN,LELE,2021,"10,925,384 "," Rp174,806,144,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA MAGELANG,LELE,2021,"37,250 "," Rp614,625,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA PEKALONGAN,LELE,2021,"71,150 "," Rp1,280,700,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA SALATIGA,LELE,2021,"689,719 "," Rp11,380,363,500 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA SEMARANG,LELE,2021,"182,735 "," Rp3,017,701,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA SURAKARTA,LELE,2021,"42,017 "," Rp714,289,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA TEGAL,LELE,2021,"16,575 "," Rp281,775,000 "
KOLAM AIR TENANG,JAWA TENGAH,KUDUS,LELE,2021,"1,726,226 "," Rp28,976,438,000 "
KOLAM AIR TENANG,JAWA TENGAH,MAGELANG,LELE,2021,"5,728,224 "," Rp91,651,584,000 "
KOLAM AIR TENANG,JAWA TENGAH,PATI,LELE,2021,"11,635,248 "," Rp203,616,840,000 "
KOLAM AIR TENANG,JAWA TENGAH,PEKALONGAN,LELE,2021,"1,020,377 "," Rp17,346,409,000 "
KOLAM AIR TENANG,JAWA TENGAH,PEMALANG,LELE,2021,"1,960,000 "," Rp32,823,250,000 "
KOLAM AIR TENANG,JAWA TENGAH,PURBALINGGA,LELE,2021,"2,590,848 "," Rp40,158,144,000 "
KOLAM AIR TENANG,JAWA TENGAH,PURWOREJO,LELE,2021,"531,491 "," Rp8,480,034,668 "
KOLAM AIR TENANG,JAWA TENGAH,REMBANG,LELE,2021,"998,002 "," Rp17,964,036,000 "
KOLAM AIR TENANG,JAWA TENGAH,SEMARANG,LELE,2021,"3,139,562 "," Rp54,259,176,000 "
KOLAM AIR TENANG,JAWA TENGAH,SRAGEN,LELE,2021,"7,306,550 "," Rp113,214,600,000 "
KOLAM AIR TENANG,JAWA TENGAH,SUKOHARJO,LELE,2021,"11,217,000 "," Rp176,750,926,500 "
KOLAM AIR TENANG,JAWA TENGAH,TEGAL,LELE,2021,"722,753 "," Rp13,009,554,000 "
KOLAM AIR TENANG,JAWA TENGAH,TEMANGGUNG,LELE,2021,"4,744,628 "," Rp80,658,676,000 "
KOLAM AIR TENANG,JAWA TENGAH,WONOGIRI,LELE,2021,"474,553 "," Rp7,830,124,500 "
KOLAM AIR TENANG,JAWA TENGAH,WONOSOBO,LELE,2021,"3,077,867 "," Rp38,943,834,000 "
KOLAM AIR TENANG,JAWA TIMUR,BANGKALAN,LELE,2021,"332,800 "," Rp5,657,600,000 "
KOLAM AIR TENANG,JAWA TIMUR,BANYUWANGI,LELE,2021,"4,857,750 "," Rp72,866,250,000 "
KOLAM AIR TENANG,JAWA TIMUR,BLITAR,LELE,2021,"9,923,300 "," Rp143,809,400,000 "
KOLAM AIR TENANG,JAWA TIMUR,BOJONEGORO,LELE,2021,"2,927,260 "," Rp46,836,160,000 "
KOLAM AIR TENANG,JAWA TIMUR,BONDOWOSO,LELE,2021,"662,298 "," Rp14,570,556,000 "
KOLAM AIR TENANG,JAWA TIMUR,GRESIK,LELE,2021,"1,214,931 "," Rp16,841,371,200 "
KOLAM AIR TENANG,JAWA TIMUR,JEMBER,LELE,2021,"8,417,268 "," Rp152,300,220,000 "
KOLAM AIR TENANG,JAWA TIMUR,JOMBANG,LELE,2021,"7,265,900 "," Rp116,254,400,000 "
KOLAM AIR TENANG,JAWA TIMUR,KEDIRI,LELE,2021,"16,279,880 "," Rp240,196,915,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA BATU,LELE,2021,"24,897 "," Rp411,741,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA BLITAR,LELE,2021,"101,250 "," Rp1,545,600,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA KEDIRI,LELE,2021,"149,800 "," Rp2,352,800,003 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA MADIUN,LELE,2021,"177,048 "," Rp2,832,768,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA MALANG,LELE,2021,"126,150 "," Rp2,207,625,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA MOJOKERTO,LELE,2021,"185,100 "," Rp3,097,950,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA PASURUAN,LELE,2021,"270,611 "," Rp4,059,165,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA PROBOLINGGO,LELE,2021,"207,862 "," Rp3,228,459,903 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA SURABAYA,LELE,2021,"747,485 "," Rp13,454,730,000 "
KOLAM AIR TENANG,JAWA TIMUR,LAMONGAN,LELE,2021,"2,371,362 "," Rp36,411,710,955 "
KOLAM AIR TENANG,JAWA TIMUR,LUMAJANG,LELE,2021,"943,855 "," Rp14,869,047,500 "
KOLAM AIR TENANG,JAWA TIMUR,MADIUN,LELE,2021,"2,315,600 "," Rp35,891,800,000 "
KOLAM AIR TENANG,JAWA TIMUR,MAGETAN,LELE,2021,"1,494,100 "," Rp23,905,600,000 "
KOLAM AIR TENANG,JAWA TIMUR,MALANG,LELE,2021,"5,530,775 "," Rp88,492,400,000 "
KOLAM AIR TENANG,JAWA TIMUR,MOJOKERTO,LELE,2021,"626,000 "," Rp10,016,000,000 "
KOLAM AIR TENANG,JAWA TIMUR,NGANJUK,LELE,2021,"9,373,650 "," Rp147,984,014,500 "
KOLAM AIR TENANG,JAWA TIMUR,NGAWI,LELE,2021,"2,756,825 "," Rp43,448,712,500 "
KOLAM AIR TENANG,JAWA TIMUR,PACITAN,LELE,2021,"441,929 "," Rp7,512,793,000 "
KOLAM AIR TENANG,JAWA TIMUR,PAMEKASAN,LELE,2021,"523,222 "," Rp9,048,975,600 "
KOLAM AIR TENANG,JAWA TIMUR,PASURUAN,LELE,2021,"4,289,990 "," Rp67,752,526,800 "
KOLAM AIR TENANG,JAWA TIMUR,PONOROGO,LELE,2021,"1,594,052 "," Rp25,504,832,000 "
KOLAM AIR TENANG,JAWA TIMUR,PROBOLINGGO,LELE,2021,"763,110 "," Rp11,769,569,999 "
KOLAM AIR TENANG,JAWA TIMUR,SAMPANG,LELE,2021,"123,050 "," Rp2,214,900,000 "
KOLAM AIR TENANG,JAWA TIMUR,SIDOARJO,LELE,2021,"21,534,551 "," Rp344,552,816,000 "
KOLAM AIR TENANG,JAWA TIMUR,SITUBONDO,LELE,2021,"268,104 "," Rp4,289,664,000 "
KOLAM AIR TENANG,JAWA TIMUR,SUMENEP,LELE,2021,"281,860 "," Rp4,791,620,000 "
KOLAM AIR TENANG,JAWA TIMUR,TRENGGALEK,LELE,2021,"3,582,684 "," Rp55,531,602,000 "
KOLAM AIR TENANG,JAWA TIMUR,TUBAN,LELE,2021,"8,161,862 "," Rp138,751,654,000 "
KOLAM AIR TENANG,JAWA TIMUR,TULUNGAGUNG,LELE,2021,"10,896,660 "," Rp169,167,813,000 "
KOLAM AIR TENANG,JAWA BARAT,BANDUNG,LELE,2022,"10,814,029 "," Rp173,024,464,000 "
KOLAM AIR TENANG,JAWA BARAT,BANDUNG BARAT,LELE,2022,"2,345,993 "," Rp38,931,131,000 "
KOLAM AIR TENANG,JAWA BARAT,BEKASI,LELE,2022,"2,754,178 "," Rp52,329,382,000 "
KOLAM AIR TENANG,JAWA BARAT,BOGOR,LELE,2022,"95,767,076 "," Rp2,489,943,976,000 "
KOLAM AIR TENANG,JAWA BARAT,CIAMIS,LELE,2022,"4,386,562 "," Rp57,025,306,000 "
KOLAM AIR TENANG,JAWA BARAT,CIANJUR,LELE,2022,"14,761,430 "," Rp236,182,880,000 "
KOLAM AIR TENANG,JAWA BARAT,CIREBON,LELE,2022,"2,830,540 "," Rp56,610,800,000 "
KOLAM AIR TENANG,JAWA BARAT,GARUT,LELE,2022,"6,407,870 "," Rp115,341,660,000 "
KOLAM AIR TENANG,JAWA BARAT,INDRAMAYU,LELE,2022,"93,917,550 "," Rp1,912,034,600,000 "
KOLAM AIR TENANG,JAWA BARAT,KARAWANG,LELE,2022,"800,247 "," Rp9,602,964,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BANDUNG,LELE,2022,"143,439 "," Rp2,811,912,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BANJAR,LELE,2022,"317,776 "," Rp4,766,640,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BEKASI,LELE,2022,"1,266,142 "," Rp22,790,556,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BOGOR,LELE,2022,"2,422,200 "," Rp42,748,800,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA CIMAHI,LELE,2022,"239,430 "," Rp4,549,170,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA CIREBON,LELE,2022,"72,878 "," Rp1,188,944,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA DEPOK,LELE,2022,"146,750 "," Rp4,329,470,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA SUKABUMI,LELE,2022,"717,371 "," Rp12,912,678,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA TASIKMALAYA,LELE,2022,"1,494,499 "," Rp17,933,988,000 "
KOLAM AIR TENANG,JAWA BARAT,KUNINGAN,LELE,2022,"4,850,099 "," Rp82,451,683,000 "
KOLAM AIR TENANG,JAWA BARAT,MAJALENGKA,LELE,2022,"2,823,760 "," Rp56,475,200,000 "
KOLAM AIR TENANG,JAWA BARAT,PANGANDARAN,LELE,2022,"25,172 "," Rp407,354,150 "
KOLAM AIR TENANG,JAWA BARAT,PURWAKARTA,LELE,2022,"802,310 "," Rp14,047,500,000 "
KOLAM AIR TENANG,JAWA BARAT,SUBANG,LELE,2022,"2,464,889 "," Rp45,814,581,000 "
KOLAM AIR TENANG,JAWA BARAT,SUKABUMI,LELE,2022,"11,720,265 "," Rp199,244,505,000 "
KOLAM AIR TENANG,JAWA BARAT,SUMEDANG,LELE,2022,"279,317 "," Rp5,168,983,634 "
KOLAM AIR TENANG,JAWA BARAT,TASIKMALAYA,LELE,2022,"2,625,000 "," Rp37,080,000,000 "
KOLAM AIR TENANG,JAWA TENGAH,BANJARNEGARA,LELE,2022,"12,105,519 "," Rp222,739,224,000 "
KOLAM AIR TENANG,JAWA TENGAH,BANYUMAS,LELE,2022,"3,755,572 "," Rp66,235,849,000 "
KOLAM AIR TENANG,JAWA TENGAH,BATANG,LELE,2022,"1,341,736 "," Rp24,700,955,000 "
KOLAM AIR TENANG,JAWA TENGAH,BLORA,LELE,2022,"776,915 "," Rp13,984,470,000 "
KOLAM AIR TENANG,JAWA TENGAH,BOYOLALI,LELE,2022,"30,502,055 "," Rp581,427,768,500 "
KOLAM AIR TENANG,JAWA TENGAH,BREBES,LELE,2022,"4,587,641 "," Rp97,746,364,000 "
KOLAM AIR TENANG,JAWA TENGAH,CILACAP,LELE,2022,"2,531,351 "," Rp48,708,911,000 "
KOLAM AIR TENANG,JAWA TENGAH,DEMAK,LELE,2022,"39,048,401 "," Rp624,774,416,000 "
KOLAM AIR TENANG,JAWA TENGAH,GROBOGAN,LELE,2022,"2,435,969 "," Rp44,456,001,500 "
KOLAM AIR TENANG,JAWA TENGAH,JEPARA,LELE,2022,"4,849,922 "," Rp102,551,981,000 "
KOLAM AIR TENANG,JAWA TENGAH,KARANGANYAR,LELE,2022,"1,634,762 "," Rp27,806,116,000 "
KOLAM AIR TENANG,JAWA TENGAH,KEBUMEN,LELE,2022,"1,324,138 "," Rp23,728,422,000 "
KOLAM AIR TENANG,JAWA TENGAH,KENDAL,LELE,2022,"3,177,800 "," Rp57,174,700,000 "
KOLAM AIR TENANG,JAWA TENGAH,KLATEN,LELE,2022,"11,712,686 "," Rp187,402,976,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA MAGELANG,LELE,2022,"28,700 "," Rp492,500,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA PEKALONGAN,LELE,2022,"92,495 "," Rp1,757,405,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA SALATIGA,LELE,2022,"614,975 "," Rp11,684,525,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA SEMARANG,LELE,2022,"207,764 "," Rp3,947,516,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA SURAKARTA,LELE,2022,"41,919 "," Rp712,623,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA TEGAL,LELE,2022,"16,727 "," Rp284,359,000 "
KOLAM AIR TENANG,JAWA TENGAH,KUDUS,LELE,2022,"1,819,297 "," Rp35,280,906,500 "
KOLAM AIR TENANG,JAWA TENGAH,MAGELANG,LELE,2022,"4,853,204 "," Rp82,413,516,000 "
KOLAM AIR TENANG,JAWA TENGAH,PATI,LELE,2022,"11,462,531 "," Rp214,689,751,000 "
KOLAM AIR TENANG,JAWA TENGAH,PEKALONGAN,LELE,2022,"1,076,909 "," Rp18,307,453,000 "
KOLAM AIR TENANG,JAWA TENGAH,PEMALANG,LELE,2022,"1,963,290 "," Rp33,538,883,070 "
KOLAM AIR TENANG,JAWA TENGAH,PURBALINGGA,LELE,2022,"2,225,550 "," Rp40,616,375,000 "
KOLAM AIR TENANG,JAWA TENGAH,PURWOREJO,LELE,2022,"546,904 "," Rp10,001,878,682 "
KOLAM AIR TENANG,JAWA TENGAH,REMBANG,LELE,2022,"989,900 "," Rp18,764,476,000 "
KOLAM AIR TENANG,JAWA TENGAH,SEMARANG,LELE,2022,"3,281,174 "," Rp55,779,958,000 "
KOLAM AIR TENANG,JAWA TENGAH,SRAGEN,LELE,2022,"8,010,100 "," Rp152,195,520,000 "
KOLAM AIR TENANG,JAWA TENGAH,SUKOHARJO,LELE,2022,"11,934,850 "," Rp196,969,935,000 "
KOLAM AIR TENANG,JAWA TENGAH,TEGAL,LELE,2022,"784,340 "," Rp13,725,950,000 "
KOLAM AIR TENANG,JAWA TENGAH,TEMANGGUNG,LELE,2022,"4,523,851 "," Rp92,262,479,000 "
KOLAM AIR TENANG,JAWA TENGAH,WONOGIRI,LELE,2022,"560,792 "," Rp10,094,256,000 "
KOLAM AIR TENANG,JAWA TENGAH,WONOSOBO,LELE,2022,"3,203,907 "," Rp44,854,698,000 "
KOLAM AIR TENANG,JAWA TIMUR,BANGKALAN,LELE,2022,"313,800 "," Rp6,142,800,000 "
KOLAM AIR TENANG,JAWA TIMUR,BANYUWANGI,LELE,2022,"5,293,500 "," Rp99,553,500,000 "
KOLAM AIR TENANG,JAWA TIMUR,BLITAR,LELE,2022,"8,884,488 "," Rp142,151,808,000 "
KOLAM AIR TENANG,JAWA TIMUR,BOJONEGORO,LELE,2022,"3,030,811 "," Rp53,201,436,500 "
KOLAM AIR TENANG,JAWA TIMUR,BONDOWOSO,LELE,2022,"752,068 "," Rp16,545,496,000 "
KOLAM AIR TENANG,JAWA TIMUR,GRESIK,LELE,2022,"1,278,759 "," Rp19,181,385,000 "
KOLAM AIR TENANG,JAWA TIMUR,JEMBER,LELE,2022,"10,103,000 "," Rp151,545,000,000 "
KOLAM AIR TENANG,JAWA TIMUR,JOMBANG,LELE,2022,"7,253,300 "," Rp132,419,450,000 "
KOLAM AIR TENANG,JAWA TIMUR,KEDIRI,LELE,2022,"16,310,100 "," Rp260,961,600,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA BATU,LELE,2022,"25,440 "," Rp457,920,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA BLITAR,LELE,2022,"106,480 "," Rp1,804,080,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA KEDIRI,LELE,2022,"174,670 "," Rp2,789,994,995 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA MADIUN,LELE,2022,"183,910 "," Rp3,147,610,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA MALANG,LELE,2022,"109,700 "," Rp2,021,800,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA MOJOKERTO,LELE,2022,"199,100 "," Rp3,360,025,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA PASURUAN,LELE,2022,"733,863 "," Rp11,007,945,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA PROBOLINGGO,LELE,2022,"195,120 "," Rp3,486,222,494 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA SURABAYA,LELE,2022,"1,066,656 "," Rp23,355,723,000 "
KOLAM AIR TENANG,JAWA TIMUR,LAMONGAN,LELE,2022,"1,997,928 "," Rp31,569,050,975 "
KOLAM AIR TENANG,JAWA TIMUR,LUMAJANG,LELE,2022,"1,003,850 "," Rp17,823,640,687 "
KOLAM AIR TENANG,JAWA TIMUR,MADIUN,LELE,2022,"2,301,600 "," Rp38,464,455,000 "
KOLAM AIR TENANG,JAWA TIMUR,MAGETAN,LELE,2022,"1,500,500 "," Rp25,512,250,000 "
KOLAM AIR TENANG,JAWA TIMUR,MALANG,LELE,2022,"5,761,460 "," Rp92,183,360,000 "
KOLAM AIR TENANG,JAWA TIMUR,MOJOKERTO,LELE,2022,"1,285,200 "," Rp22,300,031,600 "
KOLAM AIR TENANG,JAWA TIMUR,NGANJUK,LELE,2022,"9,654,960 "," Rp168,447,185,000 "
KOLAM AIR TENANG,JAWA TIMUR,NGAWI,LELE,2022,"2,919,830 "," Rp52,556,940,000 "
KOLAM AIR TENANG,JAWA TIMUR,PACITAN,LELE,2022,"396,051 "," Rp7,143,007,000 "
KOLAM AIR TENANG,JAWA TIMUR,PAMEKASAN,LELE,2022,"721,130 "," Rp13,393,770,500 "
KOLAM AIR TENANG,JAWA TIMUR,PASURUAN,LELE,2022,"9,254,253 "," Rp169,019,363,300 "
KOLAM AIR TENANG,JAWA TIMUR,PONOROGO,LELE,2022,"1,479,896 "," Rp29,651,388,000 "
KOLAM AIR TENANG,JAWA TIMUR,PROBOLINGGO,LELE,2022,"471,260 "," Rp7,955,789,992 "
KOLAM AIR TENANG,JAWA TIMUR,SAMPANG,LELE,2022,"141,164 "," Rp2,771,686,000 "
KOLAM AIR TENANG,JAWA TIMUR,SIDOARJO,LELE,2022,"22,357,051 "," Rp357,712,816,000 "
KOLAM AIR TENANG,JAWA TIMUR,SITUBONDO,LELE,2022,"249,865 "," Rp4,253,244,000 "
KOLAM AIR TENANG,JAWA TIMUR,SUMENEP,LELE,2022,"286,659 "," Rp5,733,180,000 "
KOLAM AIR TENANG,JAWA TIMUR,TRENGGALEK,LELE,2022,"3,402,219 "," Rp55,185,750,000 "
KOLAM AIR TENANG,JAWA TIMUR,TUBAN,LELE,2022,"7,524,953 "," Rp135,449,154,000 "
KOLAM AIR TENANG,JAWA TIMUR,TULUNGAGUNG,LELE,2022,"11,127,000 "," Rp199,606,800,000 "
KOLAM AIR TENANG,JAWA BARAT,BANDUNG,LELE,2023,"11,441,141 "," Rp205,940,538,000 "
KOLAM AIR TENANG,JAWA BARAT,BANDUNG BARAT,LELE,2023,"2,773,758 "," Rp49,927,644,000 "
KOLAM AIR TENANG,JAWA BARAT,BEKASI,LELE,2023,"2,974,511 "," Rp56,515,709,000 "
KOLAM AIR TENANG,JAWA BARAT,BOGOR,LELE,2023,"90,423,093 "," Rp1,888,920,146,000 "
KOLAM AIR TENANG,JAWA BARAT,CIAMIS,LELE,2023,"4,572,721 "," Rp59,445,373,000 "
KOLAM AIR TENANG,JAWA BARAT,CIANJUR,LELE,2023,"16,471,900 "," Rp263,550,400,000 "
KOLAM AIR TENANG,JAWA BARAT,CIREBON,LELE,2023,"4,876,376 "," Rp90,422,640,168 "
KOLAM AIR TENANG,JAWA BARAT,GARUT,LELE,2023,"6,471,655 "," Rp129,433,100,000 "
KOLAM AIR TENANG,JAWA BARAT,INDRAMAYU,LELE,2023,"113,100,490 "," Rp2,488,210,780,000 "
KOLAM AIR TENANG,JAWA BARAT,KARAWANG,LELE,2023,"1,509,738 "," Rp24,155,808,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BANDUNG,LELE,2023,"157,290 "," Rp3,145,800,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BANJAR,LELE,2023,"321,434 "," Rp4,821,510,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BEKASI,LELE,2023,"1,278,334 "," Rp25,566,680,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BOGOR,LELE,2023,"1,391,650 "," Rp24,734,050,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA CIMAHI,LELE,2023,"213,956 "," Rp4,065,164,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA CIREBON,LELE,2023,"70,775 "," Rp1,168,192,720 "
KOLAM AIR TENANG,JAWA BARAT,KOTA DEPOK,LELE,2023,"566,106 "," Rp14,152,650,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA SUKABUMI,LELE,2023,"720,139 "," Rp12,962,502,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA TASIKMALAYA,LELE,2023,"1,511,603 "," Rp18,139,236,000 "
KOLAM AIR TENANG,JAWA BARAT,KUNINGAN,LELE,2023,"5,106,406 "," Rp88,652,166,000 "
KOLAM AIR TENANG,JAWA BARAT,MAJALENGKA,LELE,2023,"2,856,600 "," Rp57,132,000,000 "
KOLAM AIR TENANG,JAWA BARAT,PANGANDARAN,LELE,2023,"15,871 "," Rp269,807,000 "
KOLAM AIR TENANG,JAWA BARAT,PURWAKARTA,LELE,2023,"853,490 "," Rp17,069,800,000 "
KOLAM AIR TENANG,JAWA BARAT,SUBANG,LELE,2023,"5,326,146 "," Rp113,061,005,500 "
KOLAM AIR TENANG,JAWA BARAT,SUKABUMI,LELE,2023,"12,234,418 "," Rp257,821,902,000 "
KOLAM AIR TENANG,JAWA BARAT,SUMEDANG,LELE,2023,"161,974 "," Rp3,057,783,900 "
KOLAM AIR TENANG,JAWA BARAT,TASIKMALAYA,LELE,2023,"1,857,000 "," Rp27,855,000,000 "
KOLAM AIR TENANG,JAWA TENGAH,BANJARNEGARA,LELE,2023,"18,813,223 "," Rp338,638,014,000 "
KOLAM AIR TENANG,JAWA TENGAH,BANYUMAS,LELE,2023,"3,860,008 "," Rp69,480,144,000 "
KOLAM AIR TENANG,JAWA TENGAH,BATANG,LELE,2023,"1,345,039 "," Rp26,900,780,000 "
KOLAM AIR TENANG,JAWA TENGAH,BLORA,LELE,2023,"773,518 "," Rp14,290,492,000 "
KOLAM AIR TENANG,JAWA TENGAH,BOYOLALI,LELE,2023,"30,903,214 "," Rp648,967,494,000 "
KOLAM AIR TENANG,JAWA TENGAH,BREBES,LELE,2023,"2,975,734 "," Rp63,978,281,000 "
KOLAM AIR TENANG,JAWA TENGAH,CILACAP,LELE,2023,"2,848,506 "," Rp55,656,952,000 "
KOLAM AIR TENANG,JAWA TENGAH,DEMAK,LELE,2023,"39,827,731 "," Rp637,243,696,000 "
KOLAM AIR TENANG,JAWA TENGAH,GROBOGAN,LELE,2023,"2,592,873 "," Rp47,974,514,000 "
KOLAM AIR TENANG,JAWA TENGAH,JEPARA,LELE,2023,"4,317,360 "," Rp94,981,920,000 "
KOLAM AIR TENANG,JAWA TENGAH,KARANGANYAR,LELE,2023,"1,710,249 "," Rp30,784,482,000 "
KOLAM AIR TENANG,JAWA TENGAH,KEBUMEN,LELE,2023,"1,289,045 "," Rp23,809,138,000 "
KOLAM AIR TENANG,JAWA TENGAH,KENDAL,LELE,2023,"3,182,800 "," Rp60,473,200,000 "
KOLAM AIR TENANG,JAWA TENGAH,KLATEN,LELE,2023,"11,829,671 "," Rp212,934,078,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA MAGELANG,LELE,2023,"38,100 "," Rp666,750,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA PEKALONGAN,LELE,2023,"130,520 "," Rp2,479,880,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA SALATIGA,LELE,2023,"605,904 "," Rp10,300,368,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA SEMARANG,LELE,2023,"192,453 "," Rp4,384,035,500 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA SURAKARTA,LELE,2023,"43,712 "," Rp830,528,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA TEGAL,LELE,2023,"16,893 "," Rp295,627,500 "
KOLAM AIR TENANG,JAWA TENGAH,KUDUS,LELE,2023,"1,847,830 "," Rp38,804,430,000 "
KOLAM AIR TENANG,JAWA TENGAH,MAGELANG,LELE,2023,"4,895,362 "," Rp97,907,240,000 "
KOLAM AIR TENANG,JAWA TENGAH,PATI,LELE,2023,"11,713,132 "," Rp229,823,357,000 "
KOLAM AIR TENANG,JAWA TENGAH,PEKALONGAN,LELE,2023,"1,136,826 "," Rp19,326,042,000 "
KOLAM AIR TENANG,JAWA TENGAH,PEMALANG,LELE,2023,"2,150,730 "," Rp43,014,600,000 "
KOLAM AIR TENANG,JAWA TENGAH,PURBALINGGA,LELE,2023,"2,180,190 "," Rp40,333,515,000 "
KOLAM AIR TENANG,JAWA TENGAH,PURWOREJO,LELE,2023,"557,839 "," Rp10,390,421,500 "
KOLAM AIR TENANG,JAWA TENGAH,REMBANG,LELE,2023,"999,586 "," Rp19,885,464,000 "
KOLAM AIR TENANG,JAWA TENGAH,SEMARANG,LELE,2023,"3,375,208 "," Rp64,011,476,600 "
KOLAM AIR TENANG,JAWA TENGAH,SRAGEN,LELE,2023,"8,714,757 "," Rp172,143,056,500 "
KOLAM AIR TENANG,JAWA TENGAH,SUKOHARJO,LELE,2023,"12,002,368 "," Rp216,042,624,000 "
KOLAM AIR TENANG,JAWA TENGAH,TEGAL,LELE,2023,"1,083,452 "," Rp21,669,040,000 "
KOLAM AIR TENANG,JAWA TENGAH,TEMANGGUNG,LELE,2023,"4,359,111 "," Rp91,541,331,000 "
KOLAM AIR TENANG,JAWA TENGAH,WONOGIRI,LELE,2023,"544,978 "," Rp10,162,082,000 "
KOLAM AIR TENANG,JAWA TENGAH,WONOSOBO,LELE,2023,"1,075,226 "," Rp17,203,616,000 "
KOLAM AIR TENANG,JAWA TIMUR,BANGKALAN,LELE,2023,"392,300 "," Rp7,846,000,000 "
KOLAM AIR TENANG,JAWA TIMUR,BANYUWANGI,LELE,2023,"6,486,745 "," Rp124,071,210,000 "
